,Date,Power,Timepoint,holidays,Hour,Days,Month,Temperature,humiduity,Wind_speed
0,19501,0.18,1,0,0.0,14,7,11.8,93.0,14.4
1,19502,0.109,2,0,0.5,14,7,11.8,91.0,14.4
2,19503,0.215,3,0,1.0,14,7,11.8,89.0,18.0
3,19504,0.154,4,0,1.5,14,7,11.6,91.0,18.0
4,19505,2.513,5,0,2.0,14,7,11.4,93.0,10.8
5,19506,0.245,6,0,2.5,14,7,11.05,94.5,10.8
6,19507,0.186,7,0,3.0,14,7,10.7,96.0,10.8
7,19508,0.184,8,0,3.5,14,7,10.5,96.0,10.8
8,19509,0.876,9,0,4.0,14,7,10.3,96.0,10.8
9,19510,0.134,10,0,4.5,14,7,10.0,97.5,10.8
10,19511,0.189,11,0,5.0,14,7,9.7,99.0,10.8
11,19512,0.169,12,0,5.5,14,7,11.05,98.0,10.8
12,19513,0.979,13,0,6.0,14,7,12.4,97.0,10.8
13,19514,0.156,14,0,6.5,14,7,13.05,93.5,10.8
14,19515,0.229,15,0,7.0,14,7,13.7,90.0,14.4
15,19516,0.207,16,0,7.5,14,7,14.1,87.5,14.4
16,19517,0.651,17,0,8.0,14,7,14.5,85.0,14.4
17,19518,0.69,18,0,8.5,14,7,15.4,83.5,14.4
18,19519,1.127,19,0,9.0,14,7,16.3,82.0,21.6
19,19520,0.418,20,0,9.5,14,7,15.5,88.5,21.6
20,19521,0.248,21,0,10.0,14,7,14.7,95.0,21.6
21,19522,0.117,22,0,10.5,14,7,14.25,95.5,21.6
22,19523,0.239,23,0,11.0,14,7,13.8,96.0,14.4
23,19524,0.104,24,0,11.5,14,7,14.3,96.0,14.4
24,19525,0.143,25,0,12.0,14,7,14.8,96.0,18.0
25,19526,0.451,26,0,12.5,14,7,15.15,92.0,18.0
26,19527,0.161,27,0,13.0,14,7,15.5,88.0,28.8
27,19528,0.308,28,0,13.5,14,7,15.2,92.0,28.8
28,19529,0.859,29,0,14.0,14,7,14.9,96.0,21.6
29,19530,2.17,30,0,14.5,14,7,14.65,96.5,21.6
30,19531,1.065,31,0,15.0,14,7,14.4,97.0,14.4
31,19532,0.158,32,0,15.5,14,7,15.2,92.5,14.4
32,19533,0.214,33,0,16.0,14,7,16.0,88.0,25.2
33,19534,0.266,34,0,16.5,14,7,16.1,86.5,25.2
34,19535,0.192,35,0,17.0,14,7,16.2,85.0,25.2
35,19536,0.216,36,0,17.5,14,7,15.7,86.5,25.2
36,19537,0.476,37,0,18.0,14,7,15.2,88.0,25.2
37,19538,0.846,38,0,18.5,14,7,15.0,90.5,25.2
38,19539,0.533,39,0,19.0,14,7,14.8,93.0,14.4
39,19540,0.26,40,0,19.5,14,7,14.6,94.0,14.4
40,19541,0.313,41,0,20.0,14,7,14.4,95.0,14.4
41,19542,0.262,42,0,20.5,14,7,14.3,96.0,14.4
42,19543,0.297,43,0,21.0,14,7,14.2,97.0,14.4
43,19544,0.284,44,0,21.5,14,7,13.8,98.0,14.4
44,19545,0.307,45,0,22.0,14,7,13.4,99.0,14.4
45,19546,0.275,46,0,22.5,14,7,13.0,99.5,14.4
46,19547,0.145,47,0,23.0,14,7,12.6,100.0,10.8
47,19548,0.123,48,0,23.5,14,7,12.55,100.0,10.8
48,19601,0.233,1,0,0.0,15,7,12.5,100.0,10.8
49,19602,0.124,2,0,0.5,15,7,11.75,98.5,10.8
50,19603,0.112,3,0,1.0,15,7,11.0,97.0,7.2
51,19604,0.203,4,0,1.5,15,7,9.7,98.5,7.2
52,19605,1.039,5,0,2.0,15,7,8.4,100.0,3.6
53,19606,0.117,6,0,2.5,15,7,8.15,100.0,3.6
54,19607,0.176,7,0,3.0,15,7,7.9,100.0,3.6
55,19608,0.142,8,0,3.5,15,7,8.15,100.0,3.6
56,19609,0.167,9,0,4.0,15,7,8.4,100.0,10.8
57,19610,0.887,10,0,4.5,15,7,9.25,100.0,10.8
58,19611,0.11,11,0,5.0,15,7,10.1,100.0,7.2
59,19612,0.134,12,0,5.5,15,7,10.45,100.0,7.2
60,19613,0.235,13,0,6.0,15,7,10.8,100.0,14.4
61,19614,0.111,14,0,6.5,15,7,11.55,100.0,14.4
