,Line,Date,Power,Days,holidays,Hour,Days,Month,Temperature,humiduity,Wind_speed
0,1990,19501,0.182,1,0,0.0,14,7,11.8,93.0,14.4
1,1990,19502,0.182,2,0,0.5,14,7,11.8,91.0,14.4
2,1990,19503,0.187,3,0,1.0,14,7,11.8,89.0,18.0
3,1990,19504,0.229,4,0,1.5,14,7,11.6,91.0,18.0
4,1990,19505,0.207,5,0,2.0,14,7,11.4,93.0,10.8
5,1990,19506,0.18,6,0,2.5,14,7,11.05,94.5,10.8
6,1990,19507,0.089,7,0,3.0,14,7,10.7,96.0,10.8
7,1990,19508,0.084,8,0,3.5,14,7,10.5,96.0,10.8
8,1990,19509,0.193,9,0,4.0,14,7,10.3,96.0,10.8
9,1990,19510,0.184,10,0,4.5,14,7,10.0,97.5,10.8
10,1990,19511,0.181,11,0,5.0,14,7,9.7,99.0,10.8
11,1990,19512,0.121,12,0,5.5,14,7,11.05,98.0,10.8
12,1990,19513,0.178,13,0,6.0,14,7,12.4,97.0,10.8
13,1990,19514,0.275,14,0,6.5,14,7,13.05,93.5,10.8
14,1990,19515,0.223,15,0,7.0,14,7,13.7,90.0,14.4
15,1990,19516,0.519,16,0,7.5,14,7,14.1,87.5,14.4
16,1990,19517,0.219,17,0,8.0,14,7,14.5,85.0,14.4
17,1990,19518,0.15,18,0,8.5,14,7,15.4,83.5,14.4
18,1990,19519,0.271,19,0,9.0,14,7,16.3,82.0,21.6
19,1990,19520,0.444,20,0,9.5,14,7,15.5,88.5,21.6
20,1990,19521,2.871,21,0,10.0,14,7,14.7,95.0,21.6
21,1990,19522,1.594,22,0,10.5,14,7,14.25,95.5,21.6
22,1990,19523,0.22,23,0,11.0,14,7,13.8,96.0,14.4
23,1990,19524,0.19,24,0,11.5,14,7,14.3,96.0,14.4
24,1990,19525,0.179,25,0,12.0,14,7,14.8,96.0,18.0
25,1990,19526,0.088,26,0,12.5,14,7,15.15,92.0,18.0
26,1990,19527,0.151,27,0,13.0,14,7,15.5,88.0,28.8
27,1990,19528,0.201,28,0,13.5,14,7,15.2,92.0,28.8
28,1990,19529,0.449,29,0,14.0,14,7,14.9,96.0,21.6
29,1990,19530,0.194,30,0,14.5,14,7,14.65,96.5,21.6
30,1990,19531,0.387,31,0,15.0,14,7,14.4,97.0,14.4
31,1990,19532,0.448,32,0,15.5,14,7,15.2,92.5,14.4
32,1990,19533,0.305,33,0,16.0,14,7,16.0,88.0,25.2
33,1990,19534,0.143,34,0,16.5,14,7,16.1,86.5,25.2
34,1990,19535,0.077,35,0,17.0,14,7,16.2,85.0,25.2
35,1990,19536,0.205,36,0,17.5,14,7,15.7,86.5,25.2
36,1990,19537,0.189,37,0,18.0,14,7,15.2,88.0,25.2
37,1990,19538,0.222,38,0,18.5,14,7,15.0,90.5,25.2
38,1990,19539,0.224,39,0,19.0,14,7,14.8,93.0,14.4
39,1990,19540,0.423,40,0,19.5,14,7,14.6,94.0,14.4
40,1990,19541,0.748,41,0,20.0,14,7,14.4,95.0,14.4
41,1990,19542,0.299,42,0,20.5,14,7,14.3,96.0,14.4
42,1990,19543,0.437,43,0,21.0,14,7,14.2,97.0,14.4
43,1990,19544,0.623,44,0,21.5,14,7,13.8,98.0,14.4
44,1990,19545,0.465,45,0,22.0,14,7,13.4,99.0,14.4
45,1990,19546,0.649,46,0,22.5,14,7,13.0,99.5,14.4
46,1990,19547,0.467,47,0,23.0,14,7,12.6,100.0,10.8
47,1990,19548,0.177,48,0,23.5,14,7,12.55,100.0,10.8
48,1990,19601,0.084,1,0,0.0,15,7,12.5,100.0,10.8
49,1990,19602,0.097,2,0,0.5,15,7,11.75,98.5,10.8
50,1990,19603,0.19,3,0,1.0,15,7,11.0,97.0,7.2
51,1990,19604,0.183,4,0,1.5,15,7,9.7,98.5,7.2
52,1990,19605,0.181,5,0,2.0,15,7,8.4,100.0,3.6
53,1990,19606,0.181,6,0,2.5,15,7,8.15,100.0,3.6
54,1990,19607,0.101,7,0,3.0,15,7,7.9,100.0,3.6
55,1990,19608,0.162,8,0,3.5,15,7,8.15,100.0,3.6
56,1990,19609,0.248,9,0,4.0,15,7,8.4,100.0,10.8
57,1990,19610,0.241,10,0,4.5,15,7,9.25,100.0,10.8
58,1990,19611,0.213,11,0,5.0,15,7,10.1,100.0,7.2
59,1990,19612,0.136,12,0,5.5,15,7,10.45,100.0,7.2
60,1990,19613,0.305,13,0,6.0,15,7,10.8,100.0,14.4
61,1990,19614,0.325,14,0,6.5,15,7,11.55,100.0,14.4
62,1990,19615,0.281,15,0,7.0,15,7,12.3,100.0,14.4
63,1990,19616,0.496,16,0,7.5,15,7,12.05,100.0,14.4
64,1990,19617,0.2,17,0,8.0,15,7,11.8,100.0,14.4
65,1990,19618,0.21,18,0,8.5,15,7,12.55,100.0,14.4
66,1990,19619,0.558,19,0,9.0,15,7,13.3,100.0,21.6
67,1990,19620,2.239,20,0,9.5,15,7,13.85,95.5,21.6
68,1990,19621,0.805,21,0,10.0,15,7,14.4,91.0,14.4
69,1990,19622,0.275,22,0,10.5,15,7,14.85,89.0,14.4
70,1990,19623,1.83,23,0,11.0,15,7,15.3,87.0,21.6
71,1990,19624,0.189,24,0,11.5,15,7,16.0,83.5,21.6
72,1990,19625,0.186,25,0,12.0,15,7,16.7,80.0,21.6
73,1990,19626,0.083,26,0,12.5,15,7,17.95,73.0,21.6
74,1990,19627,0.171,27,0,13.0,15,7,19.2,66.0,21.6
75,1990,19628,0.183,28,0,13.5,15,7,18.85,69.5,21.6
76,1990,19629,0.182,29,0,14.0,15,7,18.5,73.0,21.6
77,1990,19630,0.181,30,0,14.5,15,7,18.8,73.0,21.6
78,1990,19631,0.476,31,0,15.0,15,7,19.1,73.0,18.0
79,1990,19632,0.223,32,0,15.5,15,7,18.0,80.0,18.0
80,1990,19633,0.321,33,0,16.0,15,7,16.9,87.0,18.0
81,1990,19634,0.294,34,0,16.5,15,7,18.15,75.0,18.0
82,1990,19635,1.074,35,0,17.0,15,7,19.4,63.0,14.4
83,1990,19636,0.439,36,0,17.5,15,7,19.05,66.5,14.4
84,1990,19637,0.244,37,0,18.0,15,7,18.7,70.0,10.8
85,1990,19638,0.232,38,0,18.5,15,7,18.5,70.0,10.8
86,1990,19639,0.745,39,0,19.0,15,7,18.3,70.0,21.6
87,1990,19640,0.23,40,0,19.5,15,7,17.35,73.0,21.6
88,1990,19641,0.47,41,0,20.0,15,7,16.4,76.0,10.8
89,1990,19642,0.797,42,0,20.5,15,7,14.8,81.5,10.8
90,1990,19643,0.327,43,0,21.0,15,7,13.2,87.0,10.8
91,1990,19644,0.656,44,0,21.5,15,7,13.95,84.0,10.8
92,1990,19645,0.512,45,0,22.0,15,7,14.7,81.0,10.8
93,1990,19646,0.592,46,0,22.5,15,7,14.2,81.5,10.8
94,1990,19647,0.574,47,0,23.0,15,7,13.7,82.0,14.4
95,1990,19648,0.487,48,0,23.5,15,7,13.2,83.5,14.4
96,1990,19701,0.18,1,0,0.0,16,7,12.7,85.0,7.2
97,1990,19702,0.181,2,0,0.5,16,7,12.45,87.0,7.2
98,1990,19703,0.181,3,0,1.0,16,7,12.2,89.0,14.4
99,1990,19704,0.18,4,0,1.5,16,7,12.1,89.5,14.4
100,1990,19705,0.18,5,0,2.0,16,7,12.0,90.0,14.4
101,1990,19706,0.233,6,0,2.5,16,7,11.95,90.5,14.4
102,1990,19707,0.24,7,0,3.0,16,7,11.9,91.0,18.0
103,1990,19708,0.24,8,0,3.5,16,7,11.8,91.5,18.0
104,1990,19709,0.24,9,0,4.0,16,7,11.7,92.0,14.4
105,1990,19710,0.16,10,0,4.5,16,7,11.8,92.0,14.4
106,1990,19711,0.13,11,0,5.0,16,7,11.9,92.0,14.4
107,1990,19712,0.24,12,0,5.5,16,7,12.2,91.0,14.4
108,1990,19713,0.333,13,0,6.0,16,7,12.5,90.0,18.0
109,1990,19714,0.324,14,0,6.5,16,7,12.7,89.5,18.0
110,1990,19715,0.278,15,0,7.0,16,7,12.9,89.0,18.0
111,1990,19716,0.673,16,0,7.5,16,7,13.95,85.5,18.0
112,1990,19717,0.236,17,0,8.0,16,7,15.0,82.0,14.4
113,1990,19718,0.194,18,0,8.5,16,7,14.9,80.0,14.4
114,1990,19719,0.19,19,0,9.0,16,7,14.8,78.0,10.8
115,1990,19720,0.189,20,0,9.5,16,7,15.35,75.5,10.8
116,1990,19721,0.111,21,0,10.0,16,7,15.9,73.0,10.8
117,1990,19722,0.106,22,0,10.5,16,7,16.55,68.5,10.8
118,1990,19723,0.529,23,0,11.0,16,7,17.2,64.0,10.8
119,1990,19724,1.746,24,0,11.5,16,7,16.6,68.5,10.8
120,1990,19725,1.46,25,0,12.0,16,7,16.0,73.0,18.0
121,1990,19726,1.2,26,0,12.5,16,7,15.8,74.0,18.0
122,1990,19727,0.416,27,0,13.0,16,7,15.6,75.0,18.0
123,1990,19728,0.263,28,0,13.5,16,7,16.15,73.0,18.0
124,1990,19729,0.244,29,0,14.0,16,7,16.7,71.0,14.4
125,1990,19730,0.207,30,0,14.5,16,7,16.7,69.5,14.4
126,1990,19731,0.281,31,0,15.0,16,7,16.7,68.0,14.4
127,1990,19732,0.325,32,0,15.5,16,7,16.6,70.0,14.4
128,1990,19733,1.11,33,0,16.0,16,7,16.5,72.0,14.4
129,1990,19734,0.411,34,0,16.5,16,7,16.4,73.0,14.4
130,1990,19735,0.985,35,0,17.0,16,7,16.3,74.0,10.8
131,1990,19736,1.024,36,0,17.5,16,7,15.85,75.0,10.8
132,1990,19737,0.278,37,0,18.0,16,7,15.4,76.0,10.8
133,1990,19738,0.282,38,0,18.5,16,7,14.65,81.5,10.8
134,1990,19739,0.296,39,0,19.0,16,7,13.9,87.0,3.6
135,1990,19740,0.249,40,0,19.5,16,7,13.4,90.5,3.6
136,1990,19741,0.281,41,0,20.0,16,7,12.9,94.0,3.6
137,1990,19742,0.249,42,0,20.5,16,7,12.7,94.5,3.6
138,1990,19743,0.458,43,0,21.0,16,7,12.5,95.0,10.8
139,1990,19744,0.623,44,0,21.5,16,7,12.4,95.5,10.8
140,1990,19745,0.669,45,0,22.0,16,7,12.3,96.0,7.2
141,1990,19746,0.68,46,0,22.5,16,7,12.35,94.5,7.2
142,1990,19747,0.344,47,0,23.0,16,7,12.4,93.0,10.8
143,1990,19748,0.213,48,0,23.5,16,7,12.45,92.0,10.8
144,1990,19801,0.21,1,0,0.0,17,7,12.5,91.0,18.0
145,1990,19802,0.12,2,0,0.5,17,7,12.2,92.5,18.0
146,1990,19803,0.133,3,0,1.0,17,7,11.9,94.0,14.4
147,1990,19804,0.222,4,0,1.5,17,7,11.75,94.5,14.4
148,1990,19805,0.216,5,0,2.0,17,7,11.6,95.0,14.4
149,1990,19806,0.213,6,0,2.5,17,7,11.7,95.0,14.4
150,1990,19807,0.212,7,0,3.0,17,7,11.8,95.0,18.0
151,1990,19808,0.21,8,0,3.5,17,7,12.0,94.5,18.0
152,1990,19809,0.209,9,0,4.0,17,7,12.2,94.0,21.6
153,1990,19810,0.209,10,0,4.5,17,7,12.15,93.0,21.6
154,1990,19811,0.146,11,0,5.0,17,7,12.1,92.0,25.2
155,1990,19812,0.107,12,0,5.5,17,7,12.35,91.0,25.2
156,1990,19813,0.308,13,0,6.0,17,7,12.6,90.0,28.8
157,1990,19814,0.299,14,0,6.5,17,7,13.25,86.0,28.8
158,1990,19815,0.252,15,0,7.0,17,7,13.9,82.0,32.4
159,1990,19816,0.576,16,0,7.5,17,7,14.3,80.0,32.4
160,1990,19817,0.208,17,0,8.0,17,7,14.7,78.0,28.8
161,1990,19818,0.851,18,0,8.5,17,7,15.1,73.5,28.8
162,1990,19819,1.754,19,0,9.0,17,7,15.5,69.0,39.6
163,1990,19820,0.955,20,0,9.5,17,7,16.15,67.5,39.6
164,1990,19821,0.337,21,0,10.0,17,7,16.8,66.0,43.2
165,1990,19822,1.377,22,0,10.5,17,7,17.45,64.0,43.2
166,1990,19823,0.183,23,0,11.0,17,7,18.1,62.0,32.4
167,1990,19824,0.182,24,0,11.5,17,7,17.85,61.5,32.4
168,1990,19825,0.115,25,0,12.0,17,7,17.6,61.0,39.6
169,1990,19826,0.078,26,0,12.5,17,7,17.15,65.0,39.6
170,1990,19827,0.423,27,0,13.0,17,7,16.7,69.0,32.4
171,1990,19828,0.253,28,0,13.5,17,7,16.55,68.0,32.4
172,1990,19829,0.475,29,0,14.0,17,7,16.4,67.0,32.4
173,1990,19830,0.195,30,0,14.5,17,7,17.1,64.5,32.4
174,1990,19831,0.299,31,0,15.0,17,7,17.8,62.0,28.8
175,1990,19832,0.111,32,0,15.5,17,7,17.6,63.0,28.8
176,1990,19833,0.336,33,0,16.0,17,7,17.4,64.0,36.0
177,1990,19834,1.934,34,0,16.5,17,7,18.0,64.0,36.0
178,1990,19835,0.318,35,0,17.0,17,7,18.6,64.0,32.4
179,1990,19836,0.444,36,0,17.5,17,7,18.05,64.0,32.4
180,1990,19837,0.296,37,0,18.0,17,7,17.5,64.0,28.8
181,1990,19838,0.289,38,0,18.5,17,7,17.0,63.5,28.8
182,1990,19839,0.311,39,0,19.0,17,7,16.5,63.0,28.8
183,1990,19840,0.224,40,0,19.5,17,7,15.7,66.0,28.8
184,1990,19841,0.313,41,0,20.0,17,7,14.9,69.0,21.6
185,1990,19842,0.807,42,0,20.5,17,7,14.25,71.5,21.6
186,1990,19843,0.415,43,0,21.0,17,7,13.6,74.0,25.2
187,1990,19844,0.128,44,0,21.5,17,7,12.7,79.0,25.2
188,1990,19845,0.225,45,0,22.0,17,7,11.8,84.0,18.0
189,1990,19846,0.328,46,0,22.5,17,7,11.4,85.5,18.0
190,1990,19847,0.336,47,0,23.0,17,7,11.0,87.0,21.6
191,1990,19848,0.188,48,0,23.5,17,7,10.5,90.0,21.6
192,1990,19901,0.183,1,0,0.0,18,7,10.0,93.0,21.6
193,1990,19902,0.186,2,0,0.5,18,7,10.0,93.5,21.6
194,1990,19903,0.167,3,0,1.0,18,7,10.0,94.0,18.0
195,1990,19904,0.105,4,0,1.5,18,7,9.8,94.5,18.0
196,1990,19905,0.071,5,0,2.0,18,7,9.6,95.0,18.0
197,1990,19906,0.179,6,0,2.5,18,7,9.5,96.0,18.0
198,1990,19907,0.171,7,0,3.0,18,7,9.4,97.0,21.6
199,1990,19908,0.169,8,0,3.5,18,7,9.4,98.0,21.6
200,1990,19909,0.168,9,0,4.0,18,7,9.4,99.0,18.0
201,1990,19910,0.168,10,0,4.5,18,7,9.75,99.0,18.0
202,1990,19911,0.099,11,0,5.0,18,7,10.1,99.0,14.4
203,1990,19912,0.071,12,0,5.5,18,7,10.65,99.0,14.4
204,1990,19913,0.275,13,0,6.0,18,7,11.2,99.0,14.4
205,1990,19914,0.259,14,0,6.5,18,7,11.7,97.5,14.4
206,1990,19915,0.211,15,0,7.0,18,7,12.2,96.0,21.6
207,1990,19916,0.167,16,0,7.5,18,7,12.9,92.5,21.6
208,1990,19917,0.11,17,0,8.0,18,7,13.6,89.0,21.6
209,1990,19918,0.112,18,0,8.5,18,7,13.55,90.5,21.6
210,1990,19919,0.595,19,0,9.0,18,7,13.5,92.0,21.6
211,1990,19920,0.242,20,0,9.5,18,7,13.7,90.0,21.6
212,1990,19921,0.217,21,0,10.0,18,7,13.9,88.0,18.0
213,1990,19922,0.109,22,0,10.5,18,7,14.85,79.5,18.0
214,1990,19923,1.171,23,0,11.0,18,7,15.8,71.0,25.2
215,1990,19924,0.189,24,0,11.5,18,7,14.95,80.0,25.2
216,1990,19925,0.368,25,0,12.0,18,7,14.1,89.0,21.6
217,1990,19926,0.295,26,0,12.5,18,7,14.15,86.0,21.6
218,1990,19927,0.273,27,0,13.0,18,7,14.2,83.0,28.8
219,1990,19928,0.688,28,0,13.5,18,7,14.4,81.0,28.8
220,1990,19929,0.8,29,0,14.0,18,7,14.6,79.0,21.6
221,1990,19930,0.923,30,0,14.5,18,7,14.85,77.5,21.6
222,1990,19931,0.544,31,0,15.0,18,7,15.1,76.0,14.4
223,1990,19932,0.291,32,0,15.5,18,7,15.3,74.0,14.4
224,1990,19933,0.543,33,0,16.0,18,7,15.5,72.0,25.2
225,1990,19934,0.236,34,0,16.5,18,7,15.7,70.5,25.2
226,1990,19935,0.233,35,0,17.0,18,7,15.9,69.0,25.2
227,1990,19936,0.232,36,0,17.5,18,7,15.55,70.5,25.2
228,1990,19937,0.233,37,0,18.0,18,7,15.2,72.0,21.6
229,1990,19938,0.662,38,0,18.5,18,7,15.05,73.5,21.6
230,1990,19939,0.415,39,0,19.0,18,7,14.9,75.0,14.4
231,1990,19940,0.25,40,0,19.5,18,7,14.3,79.0,14.4
232,1990,19941,0.596,41,0,20.0,18,7,13.7,83.0,10.8
233,1990,19942,0.383,42,0,20.5,18,7,13.55,85.5,10.8
234,1990,19943,0.8,43,0,21.0,18,7,13.4,88.0,14.4
235,1990,19944,0.574,44,0,21.5,18,7,13.15,91.0,14.4
236,1990,19945,0.584,45,0,22.0,18,7,12.9,94.0,14.4
237,1990,19946,0.711,46,0,22.5,18,7,12.8,95.0,14.4
238,1990,19947,0.667,47,0,23.0,18,7,12.7,96.0,10.8
239,1990,19948,0.605,48,0,23.5,18,7,12.55,97.5,10.8
240,1990,20001,0.402,1,0,0.0,19,7,12.4,99.0,10.8
241,1990,20002,0.183,2,0,0.5,19,7,12.3,99.0,10.8
242,1990,20003,0.182,3,0,1.0,19,7,12.2,99.0,10.8
243,1990,20004,0.182,4,0,1.5,19,7,12.15,99.0,10.8
244,1990,20005,0.181,5,0,2.0,19,7,12.1,99.0,7.2
245,1990,20006,0.181,6,0,2.5,19,7,11.95,99.5,7.2
246,1990,20007,0.18,7,0,3.0,19,7,11.8,100.0,10.8
247,1990,20008,0.373,8,0,3.5,19,7,11.8,100.0,10.8
248,1990,20009,0.158,9,0,4.0,19,7,11.8,100.0,7.2
249,1990,20010,0.237,10,0,4.5,19,7,11.45,100.0,7.2
250,1990,20011,0.232,11,0,5.0,19,7,11.1,100.0,7.2
251,1990,20012,0.231,12,0,5.5,19,7,11.1,100.0,7.2
252,1990,20013,0.317,13,0,6.0,19,7,11.1,100.0,10.8
253,1990,20014,0.311,14,0,6.5,19,7,11.5,100.0,10.8
254,1990,20015,0.268,15,0,7.0,19,7,11.9,100.0,10.8
255,1990,20016,0.225,16,0,7.5,19,7,12.35,98.0,10.8
256,1990,20017,0.221,17,0,8.0,19,7,12.8,96.0,14.4
257,1990,20018,0.234,18,0,8.5,19,7,13.35,93.5,14.4
258,1990,20019,0.127,19,0,9.0,19,7,13.9,91.0,14.4
259,1990,20020,0.171,20,0,9.5,19,7,14.55,84.5,14.4
260,1990,20021,0.166,21,0,10.0,19,7,15.2,78.0,14.4
261,1990,20022,0.284,22,0,10.5,19,7,15.55,77.5,14.4
262,1990,20023,0.536,23,0,11.0,19,7,15.9,77.0,18.0
263,1990,20024,0.238,24,0,11.5,19,7,15.65,79.0,18.0
264,1990,20025,2.115,25,0,12.0,19,7,15.4,81.0,21.6
265,1990,20026,1.12,26,0,12.5,19,7,15.25,77.5,21.6
266,1990,20027,0.199,27,0,13.0,19,7,15.1,74.0,14.4
267,1990,20028,1.284,28,0,13.5,19,7,15.75,71.5,14.4
268,1990,20029,0.187,29,0,14.0,19,7,16.4,69.0,32.4
269,1990,20030,0.177,30,0,14.5,19,7,15.1,77.0,32.4
270,1990,20031,1.218,31,0,15.0,19,7,13.8,85.0,28.8
271,1990,20032,0.843,32,0,15.5,19,7,13.3,88.5,28.8
272,1990,20033,0.361,33,0,16.0,19,7,12.8,92.0,28.8
273,1990,20034,1.243,34,0,16.5,19,7,13.65,85.0,28.8
274,1990,20035,1.511,35,0,17.0,19,7,14.5,78.0,14.4
275,1990,20036,0.767,36,0,17.5,19,7,15.0,77.0,14.4
276,1990,20037,0.312,37,0,18.0,19,7,15.5,76.0,25.2
277,1990,20038,2.152,38,0,18.5,19,7,14.2,83.0,25.2
278,1990,20039,3.404,39,0,19.0,19,7,12.9,90.0,21.6
279,1990,20040,0.167,40,0,19.5,19,7,13.1,87.5,21.6
280,1990,20041,0.877,41,0,20.0,19,7,13.3,85.0,10.8
281,1990,20042,1.924,42,0,20.5,19,7,12.95,86.0,10.8
282,1990,20043,0.475,43,0,21.0,19,7,12.6,87.0,14.4
283,1990,20044,0.262,44,0,21.5,19,7,12.05,89.0,14.4
284,1990,20045,0.653,45,0,22.0,19,7,11.5,91.0,18.0
285,1990,20046,0.68,46,0,22.5,19,7,11.7,91.0,18.0
286,1990,20047,0.515,47,0,23.0,19,7,11.9,91.0,21.6
287,1990,20048,0.184,48,0,23.5,19,7,11.65,92.5,21.6
288,1990,20101,0.174,1,0,0.0,20,7,11.4,94.0,18.0
289,1990,20102,0.175,2,0,0.5,20,7,11.25,93.0,18.0
290,1990,20103,0.174,3,0,1.0,20,7,11.1,92.0,21.6
291,1990,20104,0.174,4,0,1.5,20,7,10.75,93.5,21.6
292,1990,20105,0.161,5,0,2.0,20,7,10.4,95.0,18.0
293,1990,20106,0.069,6,0,2.5,20,7,10.35,95.5,18.0
294,1990,20107,0.173,7,0,3.0,20,7,10.3,96.0,21.6
295,1990,20108,0.246,8,0,3.5,20,7,10.15,96.5,21.6
296,1990,20109,0.239,9,0,4.0,20,7,10.0,97.0,21.6
297,1990,20110,0.238,10,0,4.5,20,7,10.25,96.0,21.6
298,1990,20111,0.237,11,0,5.0,20,7,10.5,95.0,18.0
299,1990,20112,0.24,12,0,5.5,20,7,10.95,94.0,18.0
300,1990,20113,0.327,13,0,6.0,20,7,11.4,93.0,21.6
301,1990,20114,0.318,14,0,6.5,20,7,11.95,91.0,21.6
302,1990,20115,0.228,15,0,7.0,20,7,12.5,89.0,28.8
