,Date,Power,Timepoint,holidays,Hour,Days,Month,Temperature,humiduity,Wind_speed
0,19501,0.25,1,0,0.0,14,7,11.8,93.0,14.4
1,19502,0.343,2,0,0.5,14,7,11.8,91.0,14.4
2,19503,0.214,3,0,1.0,14,7,11.8,89.0,18.0
3,19504,0.309,4,0,1.5,14,7,11.6,91.0,18.0
4,19505,0.251,5,0,2.0,14,7,11.4,93.0,10.8
5,19506,0.217,6,0,2.5,14,7,11.05,94.5,10.8
6,19507,0.341,7,0,3.0,14,7,10.7,96.0,10.8
7,19508,0.467,8,0,3.5,14,7,10.5,96.0,10.8
8,19509,0.3,9,0,4.0,14,7,10.3,96.0,10.8
9,19510,0.256,10,0,4.5,14,7,10.0,97.5,10.8
10,19511,0.211,11,0,5.0,14,7,9.7,99.0,10.8
11,19512,0.274,12,0,5.5,14,7,11.05,98.0,10.8
12,19513,0.327,13,0,6.0,14,7,12.4,97.0,10.8
13,19514,0.27,14,0,6.5,14,7,13.05,93.5,10.8
14,19515,0.25,15,0,7.0,14,7,13.7,90.0,14.4
15,19516,0.651,16,0,7.5,14,7,14.1,87.5,14.4
16,19517,0.461,17,0,8.0,14,7,14.5,85.0,14.4
17,19518,0.385,18,0,8.5,14,7,15.4,83.5,14.4
18,19519,0.321,19,0,9.0,14,7,16.3,82.0,21.6
19,19520,0.258,20,0,9.5,14,7,15.5,88.5,21.6
20,19521,0.449,21,0,10.0,14,7,14.7,95.0,21.6
21,19522,0.456,22,0,10.5,14,7,14.25,95.5,21.6
22,19523,0.296,23,0,11.0,14,7,13.8,96.0,14.4
23,19524,0.281,24,0,11.5,14,7,14.3,96.0,14.4
24,19525,0.683,25,0,12.0,14,7,14.8,96.0,18.0
25,19526,5.308,26,0,12.5,14,7,15.15,92.0,18.0
26,19527,0.666,27,0,13.0,14,7,15.5,88.0,28.8
27,19528,0.334,28,0,13.5,14,7,15.2,92.0,28.8
28,19529,0.351,29,0,14.0,14,7,14.9,96.0,21.6
29,19530,0.393,30,0,14.5,14,7,14.65,96.5,21.6
30,19531,1.042,31,0,15.0,14,7,14.4,97.0,14.4
31,19532,2.116,32,0,15.5,14,7,15.2,92.5,14.4
32,19533,0.279,33,0,16.0,14,7,16.0,88.0,25.2
33,19534,1.035,34,0,16.5,14,7,16.1,86.5,25.2
34,19535,2.854,35,0,17.0,14,7,16.2,85.0,25.2
35,19536,1.033,36,0,17.5,14,7,15.7,86.5,25.2
36,19537,4.514,37,0,18.0,14,7,15.2,88.0,25.2
37,19538,0.364,38,0,18.5,14,7,15.0,90.5,25.2
38,19539,0.286,39,0,19.0,14,7,14.8,93.0,14.4
39,19540,0.292,40,0,19.5,14,7,14.6,94.0,14.4
