,Date,Power,Timepoint,holidays,Hour,Days,Month,Temperature,humiduity,Wind_speed
95,19648,0.087,48,0,23.5,15,7,13.2,83.5,14.4
96,19701,0.158,1,0,0.0,16,7,12.7,85.0,7.2
97,19702,0.117,2,0,0.5,16,7,12.45,87.0,7.2
98,19703,0.105,3,0,1.0,16,7,12.2,89.0,14.4
99,19704,0.089,4,0,1.5,16,7,12.1,89.5,14.4
100,19705,0.088,5,0,2.0,16,7,12.0,90.0,14.4
101,19706,0.129,6,0,2.5,16,7,11.95,90.5,14.4
102,19707,0.086,7,0,3.0,16,7,11.9,91.0,18.0
103,19708,0.084,8,0,3.5,16,7,11.8,91.5,18.0
104,19709,0.09,9,0,4.0,16,7,11.7,92.0,14.4
105,19710,0.122,10,0,4.5,16,7,11.8,92.0,14.4
106,19711,0.085,11,0,5.0,16,7,11.9,92.0,14.4
107,19712,0.086,12,0,5.5,16,7,12.2,91.0,14.4
108,19713,0.12,13,0,6.0,16,7,12.5,90.0,18.0
109,19714,0.092,14,0,6.5,16,7,12.7,89.5,18.0
110,19715,0.086,15,0,7.0,16,7,12.9,89.0,18.0
111,19716,0.085,16,0,7.5,16,7,13.95,85.5,18.0
112,19717,0.871,17,0,8.0,16,7,15.0,82.0,14.4
113,19718,0.106,18,0,8.5,16,7,14.9,80.0,14.4
114,19719,0.082,19,0,9.0,16,7,14.8,78.0,10.8
115,19720,0.081,20,0,9.5,16,7,15.35,75.5,10.8
116,19721,0.124,21,0,10.0,16,7,15.9,73.0,10.8
117,19722,0.081,22,0,10.5,16,7,16.55,68.5,10.8
118,19723,0.081,23,0,11.0,16,7,17.2,64.0,10.8
119,19724,0.082,24,0,11.5,16,7,16.6,68.5,10.8
120,19725,0.124,25,0,12.0,16,7,16.0,73.0,18.0
121,19726,0.081,26,0,12.5,16,7,15.8,74.0,18.0
122,19727,0.082,27,0,13.0,16,7,15.6,75.0,18.0
123,19728,0.116,28,0,13.5,16,7,16.15,73.0,18.0
124,19729,0.09,29,0,14.0,16,7,16.7,71.0,14.4
125,19730,0.082,30,0,14.5,16,7,16.7,69.5,14.4
126,19731,0.082,31,0,15.0,16,7,16.7,68.0,14.4
127,19732,0.125,32,0,15.5,16,7,16.6,70.0,14.4
128,19733,0.082,33,0,16.0,16,7,16.5,72.0,14.4
129,19734,0.082,34,0,16.5,16,7,16.4,73.0,14.4
130,19735,0.106,35,0,17.0,16,7,16.3,74.0,10.8
131,19736,0.101,36,0,17.5,16,7,15.85,75.0,10.8
